2D Agreement Proportion Analysis Log
Started at: 2025-10-18 23:18:57
Log file: sensitivity_results/tau10_tau01_agreement_log_20251018_231857.txt
======================================================================

Running 2D sensitivity analysis...
  tau10 range: [-1.00, 1.00] with 20 steps
  tau01 range: [-1.00, 1.00] with 20 steps
  Trust levels: 100 points in [0, 1]
  Fixed parameters: β=0.9, α=0.02, γ=0.9
  τ={11:1.0, 00:-1.0}
  p={11:0.2, 10:0.4, 01:0.2, 00:0.2}
  Total simulations: 400

  Processing (250/400): τ¹⁰=-0.053, τ⁰¹=0.263...
  Processing (251/400): τ¹⁰=0.053, τ⁰¹=0.263...
  Processing (252/400): τ¹⁰=0.158, τ⁰¹=0.263...
  Processing (253/400): τ¹⁰=0.263, τ⁰¹=0.263...
  Processing (254/400): τ¹⁰=0.368, τ⁰¹=0.263...
  Processing (255/400): τ¹⁰=0.474, τ⁰¹=0.263...
  Processing (256/400): τ¹⁰=0.579, τ⁰¹=0.263...
  Processing (257/400): τ¹⁰=0.684, τ⁰¹=0.263...
  Processing (258/400): τ¹⁰=0.789, τ⁰¹=0.263...
  Processing (259/400): τ¹⁰=0.895, τ⁰¹=0.263...
  Processing (260/400): τ¹⁰=1.000, τ⁰¹=0.263...
  Processing (261/400): τ¹⁰=-1.000, τ⁰¹=0.368...
  Processing (262/400): τ¹⁰=-0.895, τ⁰¹=0.368...
  Processing (263/400): τ¹⁰=-0.789, τ⁰¹=0.368...
  Processing (264/400): τ¹⁰=-0.684, τ⁰¹=0.368...
  Processing (265/400): τ¹⁰=-0.579, τ⁰¹=0.368...
  Processing (266/400): τ¹⁰=-0.474, τ⁰¹=0.368...
  Processing (267/400): τ¹⁰=-0.368, τ⁰¹=0.368...
  Processing (268/400): τ¹⁰=-0.263, τ⁰¹=0.368...
  Processing (269/400): τ¹⁰=-0.158, τ⁰¹=0.368...
  Processing (270/400): τ¹⁰=-0.053, τ⁰¹=0.368...
  Processing (271/400): τ¹⁰=0.053, τ⁰¹=0.368...
  Processing (272/400): τ¹⁰=0.158, τ⁰¹=0.368...
  Processing (273/400): τ¹⁰=0.263, τ⁰¹=0.368...
  Processing (274/400): τ¹⁰=0.368, τ⁰¹=0.368...
  Processing (275/400): τ¹⁰=0.474, τ⁰¹=0.368...
  Processing (276/400): τ¹⁰=0.579, τ⁰¹=0.368...
  Processing (277/400): τ¹⁰=0.684, τ⁰¹=0.368...
  Processing (278/400): τ¹⁰=0.789, τ⁰¹=0.368...
  Processing (279/400): τ¹⁰=0.895, τ⁰¹=0.368...
  Processing (280/400): τ¹⁰=1.000, τ⁰¹=0.368...
  Processing (281/400): τ¹⁰=-1.000, τ⁰¹=0.474...
  Processing (282/400): τ¹⁰=-0.895, τ⁰¹=0.474...
  Processing (283/400): τ¹⁰=-0.789, τ⁰¹=0.474...
  Processing (284/400): τ¹⁰=-0.684, τ⁰¹=0.474...
  Processing (285/400): τ¹⁰=-0.579, τ⁰¹=0.474...
  Processing (286/400): τ¹⁰=-0.474, τ⁰¹=0.474...
  Processing (287/400): τ¹⁰=-0.368, τ⁰¹=0.474...
  Processing (288/400): τ¹⁰=-0.263, τ⁰¹=0.474...
  Processing (289/400): τ¹⁰=-0.158, τ⁰¹=0.474...
  Processing (290/400): τ¹⁰=-0.053, τ⁰¹=0.474...
  Processing (291/400): τ¹⁰=0.053, τ⁰¹=0.474...
  Processing (292/400): τ¹⁰=0.158, τ⁰¹=0.474...
  Processing (293/400): τ¹⁰=0.263, τ⁰¹=0.474...
  Processing (294/400): τ¹⁰=0.368, τ⁰¹=0.474...
  Processing (295/400): τ¹⁰=0.474, τ⁰¹=0.474...
  Processing (296/400): τ¹⁰=0.579, τ⁰¹=0.474...
  Processing (297/400): τ¹⁰=0.684, τ⁰¹=0.474...
  Processing (298/400): τ¹⁰=0.789, τ⁰¹=0.474...
  Processing (299/400): τ¹⁰=0.895, τ⁰¹=0.474...
  Processing (300/400): τ¹⁰=1.000, τ⁰¹=0.474...
  Processing (301/400): τ¹⁰=-1.000, τ⁰¹=0.579...
  Processing (302/400): τ¹⁰=-0.895, τ⁰¹=0.579...
  Processing (303/400): τ¹⁰=-0.789, τ⁰¹=0.579...
  Processing (304/400): τ¹⁰=-0.684, τ⁰¹=0.579...
  Processing (305/400): τ¹⁰=-0.579, τ⁰¹=0.579...
  Processing (306/400): τ¹⁰=-0.474, τ⁰¹=0.579...
  Processing (307/400): τ¹⁰=-0.368, τ⁰¹=0.579...
  Processing (308/400): τ¹⁰=-0.263, τ⁰¹=0.579...
  Processing (309/400): τ¹⁰=-0.158, τ⁰¹=0.579...
  Processing (310/400): τ¹⁰=-0.053, τ⁰¹=0.579...
  Processing (311/400): τ¹⁰=0.053, τ⁰¹=0.579...
  Processing (312/400): τ¹⁰=0.158, τ⁰¹=0.579...
  Processing (313/400): τ¹⁰=0.263, τ⁰¹=0.579...
  Processing (314/400): τ¹⁰=0.368, τ⁰¹=0.579...
  Processing (315/400): τ¹⁰=0.474, τ⁰¹=0.579...
  Processing (316/400): τ¹⁰=0.579, τ⁰¹=0.579...
  Processing (317/400): τ¹⁰=0.684, τ⁰¹=0.579...
  Processing (318/400): τ¹⁰=0.789, τ⁰¹=0.579...
  Processing (319/400): τ¹⁰=0.895, τ⁰¹=0.579...
  Processing (320/400): τ¹⁰=1.000, τ⁰¹=0.579...
  Processing (321/400): τ¹⁰=-1.000, τ⁰¹=0.684...
  Processing (322/400): τ¹⁰=-0.895, τ⁰¹=0.684...
  Processing (323/400): τ¹⁰=-0.789, τ⁰¹=0.684...
  Processing (324/400): τ¹⁰=-0.684, τ⁰¹=0.684...
  Processing (325/400): τ¹⁰=-0.579, τ⁰¹=0.684...
  Processing (326/400): τ¹⁰=-0.474, τ⁰¹=0.684...
  Processing (327/400): τ¹⁰=-0.368, τ⁰¹=0.684...
  Processing (328/400): τ¹⁰=-0.263, τ⁰¹=0.684...
  Processing (329/400): τ¹⁰=-0.158, τ⁰¹=0.684...
  Processing (330/400): τ¹⁰=-0.053, τ⁰¹=0.684...
  Processing (331/400): τ¹⁰=0.053, τ⁰¹=0.684...
  Processing (332/400): τ¹⁰=0.158, τ⁰¹=0.684...
  Processing (333/400): τ¹⁰=0.263, τ⁰¹=0.684...
  Processing (334/400): τ¹⁰=0.368, τ⁰¹=0.684...
  Processing (335/400): τ¹⁰=0.474, τ⁰¹=0.684...
  Processing (336/400): τ¹⁰=0.579, τ⁰¹=0.684...
  Processing (337/400): τ¹⁰=0.684, τ⁰¹=0.684...
  Processing (338/400): τ¹⁰=0.789, τ⁰¹=0.684...
  Processing (339/400): τ¹⁰=0.895, τ⁰¹=0.684...
  Processing (340/400): τ¹⁰=1.000, τ⁰¹=0.684...
  Processing (341/400): τ¹⁰=-1.000, τ⁰¹=0.789...
  Processing (342/400): τ¹⁰=-0.895, τ⁰¹=0.789...
  Processing (343/400): τ¹⁰=-0.789, τ⁰¹=0.789...
  Processing (344/400): τ¹⁰=-0.684, τ⁰¹=0.789...
  Processing (345/400): τ¹⁰=-0.579, τ⁰¹=0.789...
  Processing (346/400): τ¹⁰=-0.474, τ⁰¹=0.789...
  Processing (347/400): τ¹⁰=-0.368, τ⁰¹=0.789...
  Processing (348/400): τ¹⁰=-0.263, τ⁰¹=0.789...
  Processing (349/400): τ¹⁰=-0.158, τ⁰¹=0.789...
  Processing (350/400): τ¹⁰=-0.053, τ⁰¹=0.789...
  Processing (351/400): τ¹⁰=0.053, τ⁰¹=0.789...
  Processing (352/400): τ¹⁰=0.158, τ⁰¹=0.789...
  Processing (353/400): τ¹⁰=0.263, τ⁰¹=0.789...
  Processing (354/400): τ¹⁰=0.368, τ⁰¹=0.789...
  Processing (355/400): τ¹⁰=0.474, τ⁰¹=0.789...
  Processing (356/400): τ¹⁰=0.579, τ⁰¹=0.789...
  Processing (357/400): τ¹⁰=0.684, τ⁰¹=0.789...
  Processing (358/400): τ¹⁰=0.789, τ⁰¹=0.789...
  Processing (359/400): τ¹⁰=0.895, τ⁰¹=0.789...
  Processing (360/400): τ¹⁰=1.000, τ⁰¹=0.789...
  Processing (361/400): τ¹⁰=-1.000, τ⁰¹=0.895...
  Processing (362/400): τ¹⁰=-0.895, τ⁰¹=0.895...
  Processing (363/400): τ¹⁰=-0.789, τ⁰¹=0.895...
